Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",Bronze
Abraham Assefa,M,23.0,165.0,51.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Fita Bayissa,M,19.0,173.0,52.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",
Kenenisa Bekele Beyecha,M,22.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",Gold
Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Gold
Kenenisa Bekele Beyecha,M,30.0,165.0,56.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",
Tariku Bekele Beyecha,M,25.0,173.0,65.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",Bronze
Worku Bikila,M,28.0,175.0,59.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Fikru Deguefu,M,31.0,173.0,52.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",
Yigrem Demelash,M,22.0,167.0,48.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",
Gebre Egziabher Gebremariam,M,27.0,178.0,56.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",
Haile Gebrselassie,M,23.0,165.0,56.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",Gold
Haile Gebrselassie,M,27.0,165.0,56.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",Gold
Haile Gebrselassie,M,31.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",
Haile Gebrselassie,M,35.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",
Abadi Hadis Embaye,M,18.0,170.0,63.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",
Mohamed Kedir,M,26.0,166.0,45.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",Bronze
Tolossa Kotu,M,27.0,180.0,58.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",
Wohib Masresha,M,22.0,173.0,53.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",
Wohib Masresha,M,26.0,173.0,53.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",
Gabrou Merawi,M,27.0,172.0,62.0,Ethiopia,ETH,1960 Summer,1960,Roma,Athletics,"10,000 metres",
Assefa Mezgebu,M,22.0,175.0,55.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",Bronze
Sileshi Mekuria Sihine,M,21.0,168.0,58.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",Silver
Sileshi Mekuria Sihine,M,25.0,168.0,58.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Silver
Tamirat Tola Abera,M,24.0,181.0,59.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",Bronze
Girma Tolla,M,24.0,174.0,57.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",
Mamo Wolde,M,32.0,170.0,54.0,Ethiopia,ETH,1964 Summer,1964,Tokyo,Athletics,"10,000 metres",
Mamo Wolde,M,36.0,170.0,54.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",Silver
Tadesse Wolde-Medhin,M,35.0,175.0,56.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",
Miruts Yifter,M,28.0,162.0,53.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",Bronze
Miruts Yifter,M,36.0,162.0,53.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",Gold
