Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NCA,2004 Summer,2004,Athina,Athletics,100 meters,
Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Beijing,Athletics,100 meters,
Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,KUW,1972 Summer,1972,Munich,Athletics,100 meters,
Moustafa Mounib Abdel Kader,M,,176.0,67.0,United Arab Republic,UAR,1960 Summer,1960,Roma,Athletics,100 meters,
Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",
Talal Omar Abdillahi,M,21.0,170.0,57.0,Djibouti,DJI,1988 Summer,1988,Seoul,Athletics,"10,000 meters",
"Abdihakim ""Abdi"" Abdirahman",M,23.0,178.0,61.0,United States,USA,2000 Summer,2000,Sydney,Athletics,"10,000 meters",
"Abdihakim ""Abdi"" Abdirahman",M,27.0,178.0,61.0,United States,USA,2004 Summer,2004,Athina,Athletics,"10,000 meters",
"Abdihakim ""Abdi"" Abdirahman",M,31.0,178.0,61.0,United States,USA,2008 Summer,2008,Beijing,Athletics,"10,000 meters",
Dana Abdul Razak (Hussain-),F,22.0,163.0,56.0,Iraq,IRQ,2008 Summer,2008,Beijing,Athletics,100 meters,
Dana Abdul Razak (Hussain-),F,26.0,163.0,56.0,Iraq,IRQ,2012 Summer,2012,London,Athletics,100 meters,
"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Mexico City,Athletics,100 meters,
"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Munich,Athletics,100 meters,
Ahmad Hassan Abdullah,M,27.0,164.0,55.0,Qatar,QAT,2008 Summer,2008,Beijing,Athletics,"10,000 meters",
Mohamed Samy Abdullah,M,,165.0,65.0,United Arab Emirates,UAE,1984 Summer,1984,Los Angeles,Athletics,100 meters,
