Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Antwerpen,Athletics,4 x 100 metres Relay,
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Antwerpen,Athletics,Long Jump,
Erling Rudolf Aastad,M,26.0,177.0,74.0,Norway,NOR,1924 Summer,1924,Paris,Athletics,Long Jump,
Erling Rudolf Aastad,M,30.0,177.0,74.0,Norway,NOR,1928 Summer,1928,Amsterdam,Athletics,Long Jump,
rika Abril Surez,F,34.0,164.0,52.0,Colombia,COL,2012 Summer,2012,London,Athletics,Marathon,
rika Abril Surez,F,38.0,164.0,52.0,Colombia,COL,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,
Evelis Jazmin Aguilar Torres,F,23.0,173.0,64.0,Colombia,COL,2016 Summer,2016,Rio de Janeiro,Athletics,Heptathlon,
Ernesto Alfaro Bermdez,M,30.0,165.0,68.0,Colombia,COL,1976 Summer,1976,Montreal,Athletics,20 kilometres Walk,
Ernesto Alfaro Bermdez,M,34.0,165.0,68.0,Colombia,COL,1980 Summer,1980,Moskva,Athletics,20 kilometres Walk,
Ernesto Alfaro Bermdez,M,34.0,165.0,68.0,Colombia,COL,1980 Summer,1980,Moskva,Athletics,50 kilometres Walk,
Erling Andersen,M,23.0,182.0,65.0,Norway,NOR,1984 Summer,1984,Los Angeles,Athletics,20 kilometres Walk,
Erling Andersen,M,23.0,182.0,65.0,Norway,NOR,1984 Summer,1984,Los Angeles,Athletics,50 kilometres Walk,
Erling Andersen,M,27.0,182.0,65.0,Norway,NOR,1988 Summer,1988,Seoul,Athletics,20 kilometres Walk,
Erling Andersen,M,27.0,182.0,65.0,Norway,NOR,1988 Summer,1988,Seoul,Athletics,50 kilometres Walk,
Georg Arnfinn Andersen,M,25.0,190.0,112.0,Norway,NOR,1988 Summer,1988,Seoul,Athletics,Shot Put,
Einar Harry Johannes Andersen,M,23.0,168.0,53.0,Norway,NOR,1912 Summer,1912,Stockholm,Athletics,"Cross-Country, Individual",
Einar Harry Johannes Andersen,M,23.0,168.0,53.0,Norway,NOR,1912 Summer,1912,Stockholm,Athletics,"Cross-Country, Team",
Nils Henry Andersen,M,22.0,178.0,70.0,Norway,NOR,1924 Summer,1924,Paris,Athletics,"3,000 metres, Team",
Grete Andersen-Waitz,F,18.0,172.0,53.0,Norway,NOR,1972 Summer,1972,Munich,Athletics,"1,500 metres",
Grete Andersen-Waitz,F,22.0,172.0,53.0,Norway,NOR,1976 Summer,1976,Montreal,Athletics,"1,500 metres",
Grete Andersen-Waitz,F,30.0,172.0,53.0,Norway,NOR,1984 Summer,1984,Los Angeles,Athletics,Marathon,Silver
Grete Andersen-Waitz,F,34.0,172.0,53.0,Norway,NOR,1988 Summer,1988,Seoul,Athletics,Marathon,
Roselina Angee,F,14.0,139.0,44.0,Colombia,COL,1972 Summer,1972,Munich,Swimming,200 metres Freestyle,
Roselina Angee,F,14.0,139.0,44.0,Colombia,COL,1972 Summer,1972,Munich,Swimming,400 metres Freestyle,
Roselina Angee,F,14.0,139.0,44.0,Colombia,COL,1972 Summer,1972,Munich,Swimming,800 metres Freestyle,
Roselina Angee,F,14.0,139.0,44.0,Colombia,COL,1972 Summer,1972,Munich,Swimming,200 metres Individual Medley,
Roselina Angee,F,14.0,139.0,44.0,Colombia,COL,1972 Summer,1972,Munich,Swimming,400 metres Individual Medley,
Tonje Angelsen,F,22.0,179.0,62.0,Norway,NOR,2012 Summer,2012,London,Athletics,High Jump,
Tonje Angelsen,F,26.0,179.0,62.0,Norway,NOR,2016 Summer,2016,Rio de Janeiro,Athletics,High Jump,
Jaime Aparicio Rodewalt ,M,18.0,170.0,63.0,Colombia,COL,1948 Summer,1948,London,Athletics,400 metres,
Jaime Aparicio Rodewalt ,M,18.0,170.0,63.0,Colombia,COL,1948 Summer,1948,London,Athletics,400 metres Hurdles,
Jaime Aparicio Rodewalt ,M,27.0,170.0,63.0,Colombia,COL,1956 Summer,1956,Melbourne,Athletics,400 metres,
Jaime Aparicio Rodewalt ,M,27.0,170.0,63.0,Colombia,COL,1956 Summer,1956,Melbourne,Athletics,400 metres Hurdles,
Jaime Aparicio Rodewalt ,M,27.0,170.0,63.0,Colombia,COL,1956 Summer,1956,Melbourne,Athletics,4 x 400 metres Relay,
Zuleima Aramendiz Meja,F,20.0,172.0,85.0,Colombia,COL,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,
