Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Arere Anentia,M,,175.0,67.0,Kenya,KEN,1960 Summer,1960,Roma,Athletics,"10,000 metres",
Sosthenes Bitok,M,27.0,188.0,68.0,Kenya,KEN,1984 Summer,1984,Los Angeles,Athletics,"10,000 metres",
Richard Chelimo,M,19.0,163.0,54.0,Kenya,KEN,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",Silver
Patrick Mutuku Ivuti,M,22.0,165.0,52.0,Kenya,KEN,2000 Summer,2000,Sydney,Athletics,"10,000 metres",
Richard Juma,M,27.0,170.0,60.0,Kenya,KEN,1972 Summer,1972,Munich,Athletics,"10,000 metres",
Charles Waweru Kamathi,M,26.0,165.0,51.0,Kenya,KEN,2004 Summer,2004,Athina,Athletics,"10,000 metres",
Geoffrey Kipsang Kamworor,M,23.0,172.0,58.0,Kenya,KEN,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",
"Kipchoge Hezekieh ""Kip"" Keino",M,28.0,173.0,66.0,Kenya,KEN,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",
Kipkemboi Kimeli,M,21.0,173.0,64.0,Kenya,KEN,1988 Summer,1988,Seoul,Athletics,"10,000 metres",Bronze
Wilson Kiprop,M,25.0,172.0,62.0,Kenya,KEN,2012 Summer,2012,London,Athletics,"10,000 metres",
Paul Kipsilgich Koech,M,27.0,170.0,60.0,Kenya,KEN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Micah Kemboi Kogo,M,22.0,170.0,60.0,Kenya,KEN,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Bronze
JohnCheruiyot Korir,M,18.0,172.0,57.0,Kenya,KEN,2000 Summer,2000,Sydney,Athletics,"10,000 metres",
JohnCheruiyot Korir,M,22.0,172.0,57.0,Kenya,KEN,2004 Summer,2004,Athina,Athletics,"10,000 metres",
Josphat Machuka,M,22.0,160.0,55.0,Kenya,KEN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
Moses Ndiema Masai,M,22.0,168.0,54.0,Kenya,KEN,2008 Summer,2008,Beijing,Athletics,"10,000 metres",
Moses Ndiema Masai,M,26.0,168.0,54.0,Kenya,KEN,2012 Summer,2012,London,Athletics,"10,000 metres",
Martin Irungu Mathathi,M,22.0,165.0,49.0,Kenya,KEN,2008 Summer,2008,Beijing,Athletics,"10,000 metres",
Boniface Merande,M,26.0,170.0,60.0,Kenya,KEN,1988 Summer,1988,Seoul,Athletics,"10,000 metres",
Paul Mose,M,23.0,168.0,58.0,Kenya,KEN,1972 Summer,1972,Munich,Athletics,"10,000 metres",
Moses Cheruiyot Mosop (Kimosop),M,19.0,152.0,50.0,Kenya,KEN,2004 Summer,2004,Athina,Athletics,"10,000 metres",
Bedan Karoki Muchiri,M,21.0,170.0,54.0,Kenya,KEN,2012 Summer,2012,London,Athletics,"10,000 metres",
Bedan Karoki Muchiri,M,25.0,170.0,54.0,Kenya,KEN,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",
"Michael ""Mike"" Musyoki",M,28.0,168.0,54.0,Kenya,KEN,1984 Summer,1984,Los Angeles,Athletics,"10,000 metres",Bronze
Joseph Nzau,M,32.0,173.0,64.0,Kenya,KEN,1984 Summer,1984,Los Angeles,Athletics,"10,000 metres",
Moses Kiptarbet Tanui,M,23.0,165.0,55.0,Kenya,KEN,1988 Summer,1988,Seoul,Athletics,"10,000 metres",
Moses Kiptarbet Tanui,M,26.0,165.0,55.0,Kenya,KEN,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",
Paul Kipngetich Tanui,M,25.0,168.0,47.0,Kenya,KEN,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",Silver
Nabiba Naftali Temu,M,19.0,174.0,62.0,Kenya,KEN,1964 Summer,1964,Tokyo,Athletics,"10,000 metres",
Nabiba Naftali Temu,M,23.0,174.0,62.0,Kenya,KEN,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",Gold
Nabiba Naftali Temu,M,27.0,174.0,62.0,Kenya,KEN,1972 Summer,1972,Munich,Athletics,"10,000 metres",
Paul Kibii Tergat,M,27.0,182.0,62.0,Kenya,KEN,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",Silver
Paul Kibii Tergat,M,31.0,182.0,62.0,Kenya,KEN,2000 Summer,2000,Sydney,Athletics,"10,000 metres",Silver
