Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men\'s 100 metres,Gold
Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Atlanta,Athletics,Athletics Men\'s 100 metres,Gold
Emmanuel McDonald Bailey,M,31.0,180.0,65.0,Great Britain,GBR,1952 Summer,1952,Helsinki,Athletics,Athletics Men\'s 100 metres,Bronze
Walter Thane Baker,M,25.0,183.0,72.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,Athletics Men\'s 100 metres,Silver
Yohan Blake,M,22.0,180.0,80.0,Jamaica,JAM,2012 Summer,2012,London,Athletics,Athletics Men\'s 100 metres,Silver
Ato Jabari Boldon,M,22.0,176.0,75.0,Trinidad and Tobago,TTO,1996 Summer,1996,Atlanta,Athletics,Athletics Men\'s 100 metres,Bronze
Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Sydney,Athletics,Athletics Men\'s 100 metres,Silver
Usain St. Leo Bolt,M,21.0,196.0,95.0,Jamaica,JAM,2008 Summer,2008,Beijing,Athletics,Athletics Men\'s 100 metres,Gold
Usain St. Leo Bolt,M,25.0,196.0,95.0,Jamaica,JAM,2012 Summer,2012,London,Athletics,Athletics Men\'s 100 metres,Gold
Usain St. Leo Bolt,M,29.0,196.0,95.0,Jamaica,JAM,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men\'s 100 metres,Gold
Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972 Summer,1972,Munich,Athletics,Athletics Men\'s 100 metres,Gold
Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976 Summer,1976,Montreal,Athletics,Athletics Men\'s 100 metres,Bronze
"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,USA,1896 Summer,1896,Athina,Athletics,Athletics Men\'s 100 metres,Gold
"Nathaniel John ""Nate"" Cartmell",M,21.0,182.0,71.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Athletics Men\'s 100 metres,Silver
Linford Ecerio Christie,M,28.0,189.0,94.0,Great Britain,GBR,1988 Summer,1988,Seoul,Athletics,Athletics Men\'s 100 metres,Silver
Linford Ecerio Christie,M,32.0,189.0,94.0,Great Britain,GBR,1992 Summer,1992,Barcelona,Athletics,Athletics Men\'s 100 metres,Gold
Ralph Cook Craig,M,22.0,182.0,73.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Athletics Men\'s 100 metres,Gold
Hasely Joachim Crawford,M,25.0,187.0,90.0,Trinidad and Tobago,TTO,1976 Summer,1976,Montreal,Athletics,Athletics Men\'s 100 metres,Gold
Andre De Grasse,M,21.0,176.0,70.0,Canada,CAN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men\'s 100 metres,Bronze
William Harrison Dillard,M,25.0,178.0,69.0,United States,USA,1948 Summer,1948,London,Athletics,Athletics Men\'s 100 metres,Gold
Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Beijing,Athletics,Athletics Men\'s 100 metres,Bronze
"Henry Norwood ""Barney"" Ewell",M,30.0,180.0,71.0,United States,USA,1948 Summer,1948,London,Athletics,Athletics Men\'s 100 metres,Silver
Enrique Figuerola Camu,M,26.0,167.0,67.0,Cuba,CUB,1964 Summer,1964,Tokyo,Athletics,Athletics Men\'s 100 metres,Silver
"Frank ""Frankie"" Fredericks",M,24.0,180.0,73.0,Namibia,NAM,1992 Summer,1992,Barcelona,Athletics,Athletics Men\'s 100 metres,Silver
"Frank ""Frankie"" Fredericks",M,28.0,180.0,73.0,Namibia,NAM,1996 Summer,1996,Atlanta,Athletics,Athletics Men\'s 100 metres,Silver
Justin Alexander Gatlin,M,22.0,186.0,80.0,United States,USA,2004 Summer,2004,Athina,Athletics,Athletics Men\'s 100 metres,Gold
Justin Alexander Gatlin,M,30.0,186.0,80.0,United States,USA,2012 Summer,2012,London,Athletics,Athletics Men\'s 100 metres,Bronze
Justin Alexander Gatlin,M,34.0,186.0,80.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men\'s 100 metres,Silver
"Samuel Louis ""Sam"" Graddy, III",M,20.0,178.0,70.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,Athletics Men\'s 100 metres,Silver
"Charles Edward ""Charlie"" Greene",M,23.0,173.0,69.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,Athletics Men\'s 100 metres,Bronze
Maurice Greene,M,26.0,176.0,80.0,United States,USA,2000 Summer,2000,Sydney,Athletics,Athletics Men\'s 100 metres,Gold
Maurice Greene,M,30.0,176.0,80.0,United States,USA,2004 Summer,2004,Athina,Athletics,Athletics Men\'s 100 metres,Bronze
"Charles Archibald ""Archie"" Hahn",M,23.0,167.0,64.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Athletics Men\'s 100 metres,Gold
"Charles Archibald ""Archie"" Hahn",M,25.0,167.0,64.0,United States,USA,1906 Summer,1906,Athina,Athletics,Athletics Men\'s 100 metres,Gold
Armin Hary,M,23.0,182.0,71.0,Germany,GER,1960 Summer,1960,Roma,Athletics,Athletics Men\'s 100 metres,Gold
"Robert Lee ""Bob"" Hayes",M,21.0,183.0,86.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,Athletics Men\'s 100 metres,Gold
"James Ray ""Jim"" Hines",M,22.0,183.0,81.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,Athletics Men\'s 100 metres,Gold
Fritz Hofmann,M,24.0,167.0,56.0,Germany,GER,1896 Summer,1896,Athina,Athletics,Athletics Men\'s 100 metres,Silver
"Hector Dennis ""Hec"" Hogan",M,25.0,170.0,65.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Men\'s 100 metres,Bronze
Frank Washington Jarvis,M,21.0,167.0,58.0,United States,USA,1900 Summer,1900,Paris,Athletics,Athletics Men\'s 100 metres,Gold
"Henry Winston ""Harry"" Jerome",M,24.0,180.0,77.0,Canada,CAN,1964 Summer,1964,Tokyo,Athletics,Athletics Men\'s 100 metres,Bronze
"Benjamin Sinclair ""Ben"" Johnson, Jr.",M,22.0,177.0,75.0,Canada,CAN,1984 Summer,1984,Los Angeles,Athletics,Athletics Men\'s 100 metres,Bronze
Karl Arthur Jonath,M,22.0,179.0,73.0,Germany,GER,1932 Summer,1932,Los Angeles,Athletics,Athletics Men\'s 100 metres,Bronze
"Robert ""Bobby"" Kerr",M,25.0,171.0,66.0,Canada,CAN,1908 Summer,1908,London,Athletics,Athletics Men\'s 100 metres,Bronze
Morris Marshall Kirksey,M,24.0,178.0,77.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,Athletics Men\'s 100 metres,Silver
Lloyd Barrington LaBeach,M,26.0,185.0,73.0,Panama,PAN,1948 Summer,1948,London,Athletics,Athletics Men\'s 100 metres,Bronze
Georg Lammers,M,23.0,178.0,84.0,Germany,GER,1928 Summer,1928,Amsterdam,Athletics,Athletics Men\'s 100 metres,Bronze
"Francis Adonijah ""Frank"" Lane",M,21.0,170.0,69.0,United States,USA,1896 Summer,1896,Athina,Athletics,Athletics Men\'s 100 metres,Bronze
Silvio Leonard Sarra,M,24.0,173.0,64.0,Cuba,CUB,1980 Summer,1980,Moskva,Athletics,Athletics Men\'s 100 metres,Silver
"Frederick Carlton ""Carl"" Lewis",M,23.0,188.0,80.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,Athletics Men\'s 100 metres,Gold
"Frederick Carlton ""Carl"" Lewis",M,27.0,188.0,80.0,United States,USA,1988 Summer,1988,Seoul,Athletics,Athletics Men\'s 100 metres,Gold
Donald Fithian Lippincott,M,18.0,178.0,72.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Athletics Men\'s 100 metres,Bronze
"John Edward ""Jack"" London",M,23.0,183.0,75.0,Great Britain,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men\'s 100 metres,Silver
"Herbert Henry ""Herb"" McKenley",M,30.0,185.0,72.0,Jamaica,JAM,1952 Summer,1952,Helsinki,Athletics,Athletics Men\'s 100 metres,Silver
Ralph Harold Metcalfe,M,22.0,180.0,82.0,United States,USA,1932 Summer,1932,Los Angeles,Athletics,Athletics Men\'s 100 metres,Silver
Ralph Harold Metcalfe,M,26.0,180.0,82.0,United States,USA,1936 Summer,1936,Berlin,Athletics,Athletics Men\'s 100 metres,Silver
Alvah T. Meyer,M,23.0,173.0,65.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Athletics Men\'s 100 metres,Silver
Lennox Valencia Miller,M,22.0,183.0,79.0,Jamaica,JAM,1968 Summer,1968,Mexico City,Athletics,Athletics Men\'s 100 metres,Silver
Lennox Valencia Miller,M,25.0,183.0,79.0,Jamaica,JAM,1972 Summer,1972,Munich,Athletics,Athletics Men\'s 100 metres,Bronze
Dennis Allen Mitchell,M,26.0,175.0,70.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,Athletics Men\'s 100 metres,Bronze
Bobby Joe Morrow,M,21.0,186.0,75.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,Athletics Men\'s 100 metres,Gold
Fay R. Moulton,M,30.0,175.0,70.0,United States,USA,1906 Summer,1906,Athina,Athletics,Athletics Men\'s 100 metres,Silver
Francis Obiorah Obikwelu,M,25.0,195.0,79.0,Portugal,POR,2004 Summer,2004,Athina,Athletics,Athletics Men\'s 100 metres,Silver
"Martinus Bernardus ""Tinus"" Osendarp",M,20.0,176.0,80.0,Netherlands,NED,1936 Summer,1936,Berlin,Athletics,Athletics Men\'s 100 metres,Bronze
"James Cleveland ""Jesse"" Owens",M,22.0,178.0,71.0,United States,USA,1936 Summer,1936,Berlin,Athletics,Athletics Men\'s 100 metres,Gold
"Charles William ""Charley"" Paddock",M,19.0,172.0,75.0,United States,USA,1920 Summer,1920,Antwerpen,Athletics,Athletics Men\'s 100 metres,Gold
Petar Nikolov Petrov,M,25.0,180.0,80.0,Bulgaria,BUL,1980 Summer,1980,Moskva,Athletics,Athletics Men\'s 100 metres,Bronze
Arthur Espie Porritt,M,23.0,171.0,64.0,New Zealand,NZL,1924 Summer,1924,Paris,Athletics,Athletics Men\'s 100 metres,Bronze
"Donald O\'Reilly ""Don"" Quarrie",M,25.0,175.0,70.0,Jamaica,JAM,1976 Summer,1976,Montreal,Athletics,Athletics Men\'s 100 metres,Silver
Peter Frank Radford,M,20.0,180.0,61.0,Great Britain,GBR,1960 Summer,1960,Roma,Athletics,Athletics Men\'s 100 metres,Bronze
