Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
"Abdihakim ""Abdi"" Abdirahman",M,35.0,178.0,61.0,United States,USA,2012 Summer,2012,London,Athletics,Marathon,
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
"Bradley Don ""Brad"" Adkins",M,22.0,188.0,80.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,High Jump,
"David Donald ""Dave"" Albritton",M,23.0,191.0,79.0,United States,USA,1936 Summer,1936,Berlin,Athletics,High Jump,Silver
Charles Allen Austin,M,24.0,183.0,77.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,High Jump,
Charles Allen Austin,M,28.0,183.0,77.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,High Jump,Gold
Charles Allen Austin,M,32.0,183.0,77.0,United States,USA,2000 Summer,2000,Sydney,Athletics,High Jump,
"Jack Stangl ""Jack"" Bacheler",M,28.0,200.0,77.0,United States,USA,1972 Summer,1972,Munich,Athletics,Marathon,
Ryan Bailey,M,23.0,193.0,82.0,United States,USA,2012 Summer,2012,London,Athletics,100 meters,
Walter Thane Baker,M,25.0,183.0,72.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,100 meters,Silver
"James Archibald Barrineau, Jr.",M,21.0,190.0,70.0,United States,USA,1976 Summer,1976,Montreal,Athletics,High Jump,
Frank Vern Belote,M,28.0,172.0,69.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,100 meters,
"Arnold ""Arnie"" Betton",M,19.0,188.0,77.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,High Jump,
"Chester A. ""Chet"" Bowman",M,22.0,175.0,70.0,United States,USA,1924 Summer,1924,Paris,Athletics,100 meters,
"Claude Odell Bracey, Jr.",M,18.0,180.0,70.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,100 meters,
Marvin Bracy,M,22.0,175.0,78.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,100 meters,
"Arthur George ""Art"" Bragg",M,21.0,175.0,70.0,United States,USA,1952 Summer,1952,Helsinki,Athletics,100 meters,
Keith Alan Brantly,M,34.0,180.0,64.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,Marathon,
"Alexander Dalglish Neilson ""Alex"" Breckenridge",M,28.0,176.0,65.0,United States,USA,1960 Summer,1960,Roma,Athletics,Marathon,
Trayvon Jaquez Bromell,M,21.0,175.0,70.0,United States,USA,2016 Summer,2016,Rio de Janeiro,Athletics,100 meters,
Leroy Taylor Brown,M,22.0,178.0,64.0,United States,USA,1924 Summer,1924,Paris,Athletics,High Jump,Silver
Reynaldo Ray Brown,M,17.0,193.0,89.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,High Jump,
"Ronald James ""Ron"" Brown",M,23.0,180.0,84.0,United States,USA,1984 Summer,1984,Los Angeles,Athletics,100 meters,
"Ellison Myers ""Tarzan"" Brown",M,21.0,170.0,63.0,United States,USA,1936 Summer,1936,Berlin,Athletics,Marathon,
"Daniel ""Dan"" Browne",M,29.0,178.0,66.0,United States,USA,2004 Summer,2004,Athina,Athletics,Marathon,
"Edward ""Ed"" Broxterman",M,22.0,196.0,77.0,United States,USA,1996 Summer,1996,Atlanta,Athletics,High Jump,
"Francis Joseph ""Frank"" Budd",M,21.0,178.0,76.0,United States,USA,1960 Summer,1960,Roma,Athletics,100 meters,
Jervis Watson Burdick,M,23.0,183.0,68.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,High Jump,
"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,USA,1896 Summer,1896,Athina,Athletics,100 meters,Gold
Leroy Russell Burrell,M,25.0,183.0,82.0,United States,USA,1992 Summer,1992,Barcelona,Athletics,100 meters,
Edward Powell Carr,M,26.0,168.0,59.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Marathon,
"Nathaniel John ""Nate"" Cartmell",M,21.0,182.0,71.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,100 meters,Silver
"Nathaniel John ""Nate"" Cartmell",M,25.0,182.0,71.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,
"Edward Julius ""Ed"" Caruthers, Jr.",M,19.0,196.0,93.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,High Jump,
"Edward Julius ""Ed"" Caruthers, Jr.",M,23.0,196.0,93.0,United States,USA,1968 Summer,1968,Mexico City,Athletics,High Jump,Silver
"William James ""Billy"" Churchill",M,38.0,167.0,,United States,USA,1924 Summer,1924,Paris,Athletics,Marathon,
Ellery Harding Clark,M,22.0,180.0,,United States,USA,1896 Summer,1896,Athina,Athletics,High Jump,Gold
"Robert ""Bobby"" Cloughen",M,19.0,179.0,76.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,
