Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Youcef Abdi,M,30.0,178.0,66.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",
Youcef Abdi,M,34.0,178.0,66.0,Australia,AUS,2012 Summer,2012,London,Athletics,"3,000 metres Steeplechase",
Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"5,000 metres",
Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",Bronze
Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,Gold
Tesfaye Abera Dibaba,M,24.0,192.0,68.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,50 metres Freestyle,
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,4 x 100 metres Freestyle Relay,Bronze
Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,Marathon,
Liam Adams,M,29.0,178.0,64.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,
Luke Kendall Adams,M,27.0,189.0,70.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,20 kilometres Walk,
Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,20 kilometres Walk,
Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,50 kilometres Walk,
Luke Kendall Adams,M,35.0,189.0,70.0,Australia,AUS,2012 Summer,2012,London,Athletics,50 kilometres Walk,
"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Athina,Swimming,200 metres Backstroke,
Berhane Adere Debala,F,22.0,170.0,50.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",
