Country,Sex_ratio,Continent
Afghanistan,106.3,Asia
Albania,101.9,Europe
Andorra,102.3,Europe
Armenia,88.8,Asia
Austria,96.2,Europe
Azerbaijan,99.3,Asia
Bahrain,168.3,Asia
Bangladesh,101.7,Asia
Belarus,87.0,Europe
Belgium,97.3,Europe
Bhutan,113.1,Asia
Bosnia and Herzegovina,96.4,Europe
Bulgaria,94.6,Europe
Channel Islands,98.4,Europe
"China, Hong Kong SAR",85.1,Asia
"China, Macao SAR",92.3,Asia
China,106.3,Asia
Croatia,93.1,Europe
Cyprus,100.2,Asia
Czechia,96.7,Europe
Democratic People\'s Republic of Korea,95.7,Asia
Denmark,99.0,Europe
Estonia,88.2,Europe
Faroe Islands,107.2,Europe
Finland,97.2,Europe
France,96.7,Europe
Georgia,91.4,Asia
Germany,97.0,Europe
Gibraltar,101.8,Europe
Greece,96.9,Europe
Hungary,90.7,Europe
Iceland,100.7,Europe
India,107.6,Asia
Iran (Islamic Republic of),101.2,Asia
Iraq,102.5,Asia
Ireland,98.4,Europe
Isle of Man,98.2,Europe
Israel,98.7,Asia
Italy,95.1,Europe
Japan,95.4,Asia
Jordan,102.6,Asia
Kuwait,134.9,Asia
Latvia,84.9,Europe
Lebanon,100.6,Asia
Liechtenstein,98.4,Europe
Lithuania,85.4,Europe
Luxembourg,101.0,Europe
Maldives,131.8,Asia
Malta,100.9,Europe
Monaco,94.7,Europe
Mongolia,97.9,Asia
Montenegro,97.4,Europe
Nepal,94.3,Asia
Netherlands,99.0,Europe
Norway,101.8,Europe
Oman,192.8,Asia
Pakistan,105.6,Asia
Poland,93.4,Europe
Portugal,89.8,Europe
Qatar,301.2,Asia
Republic of Korea,100.2,Asia
Republic of Moldova,92.2,Europe
Romania,94.0,Europe
Russian Federation,86.8,Europe
San Marino,94.9,Europe
Saudi Arabia,132.9,Asia
Serbia,95.6,Europe
Slovakia,94.6,Europe
Slovenia,98.6,Europe
Spain,96.2,Europe
Sri Lanka,92.5,Asia
State of Palestine,102.9,Asia
Sweden,100.2,Europe
Switzerland,98.2,Europe
Syrian Arab Republic,102.1,Asia
The former Yugoslav Republic of Macedonia,100.0,Europe
Turkey,97.0,Asia
Ukraine,86.0,Europe
United Arab Emirates,262.4,Asia
United Kingdom,97.4,Europe
Yemen,102.1,Asia
