Country,GDP_per_cap,Life_exp,Unemployment,Continent
Afghanistan,623.2,63.5,8.6,Asia
Albania,3984.2,79.9,15.8,Europe
Armenia,3489.1,77.0,16.6,Asia
Austria,44117.7,83.5,6.2,Europe
Azerbaijan,5438.7,74.6,5.2,Asia
Bahrain,22600.2,77.5,1.3,Asia
Bangladesh,1207.9,72.9,4.0,Asia
Belarus,5750.8,77.7,0.5,Europe
Belgium,40277.8,83.0,8.3,Europe
Bhutan,2677.1,68.9,2.4,Asia
Bosnia and Herzegovina,4265.0,78.8,25.4,Europe
Bulgaria,6846.8,77.8,8.1,Europe
"China, Hong Kong SAR",42431.0,86.4,3.5,Asia
"China, Macao SAR",78586.4,86.2,3.2,Asia
China,8109.1,77.2,4.6,Asia
Croatia,11479.4,80.4,11.7,Europe
Cyprus,21941.9,82.2,10.3,Asia
Czechia,17561.7,81.2,3.9,Europe
Democratic People\'s Republic of Korea,648.0,74.1,4.3,Asia
Denmark,53149.3,82.2,6.0,Europe
Estonia,17112.0,81.2,7.2,Europe
Finland,42148.1,83.7,8.9,Europe
France,36304.2,85.0,9.8,Europe
Georgia,3491.4,77.0,11.4,Asia
Germany,41686.2,82.9,4.2,Europe
Greece,17788.0,83.3,23.0,Europe
Hungary,12350.6,78.8,4.5,Europe
Iceland,50936.0,83.8,3.6,Europe
India,1614.2,69.1,3.4,Asia
Iran (Islamic Republic of),5038.1,76.2,11.3,Asia
Iraq,4509.0,71.4,16.1,Asia
Ireland,60513.6,83.0,7.6,Europe
Israel,37129.4,83.7,5.9,Asia
Italy,30462.4,84.7,11.4,Europe
Japan,34628.7,86.4,3.0,Asia
Jordan,4940.1,75.5,13.4,Asia
Kuwait,29303.9,75.5,2.2,Asia
Latvia,13704.1,78.7,9.6,Europe
Lebanon,8571.4,80.9,7.0,Asia
Lithuania,14383.7,79.3,9.2,Europe
Luxembourg,100160.8,83.4,5.6,Europe
Maldives,9446.5,77.4,2.9,Asia
Malta,23280.7,82.0,5.4,Europe
Mongolia,3973.4,72.7,6.3,Asia
Montenegro,6424.1,78.8,17.4,Europe
Nepal,724.5,70.4,3.0,Asia
Netherlands,44332.1,83.1,5.6,Europe
Norway,74185.5,83.6,5.1,Europe
Oman,15550.8,78.7,17.8,Asia
Pakistan,1410.4,66.8,5.9,Asia
Poland,12355.5,81.0,5.3,Europe
Portugal,19239.2,83.5,10.5,Europe
Qatar,73653.4,79.4,0.3,Asia
Republic of Korea,27396.7,84.4,3.6,Asia
Republic of Moldova,1591.4,75.2,5.0,Europe
Romania,9120.7,78.4,7.1,Europe
Russian Federation,9243.3,75.9,5.8,Europe
San Marino,49240.2,86.4,6.6,Europe
Saudi Arabia,20710.6,75.6,5.5,Asia
Serbia,5238.6,77.5,15.5,Europe
Slovakia,16082.5,79.8,9.9,Europe
Slovenia,20689.8,83.2,8.1,Europe
Spain,25865.4,85.3,18.3,Europe
Sri Lanka,3973.7,78.0,5.2,Asia
State of Palestine,2715.5,74.8,24.2,Asia
Sweden,50687.5,83.7,7.3,Europe
Switzerland,80831.1,84.8,4.6,Europe
Syrian Arab Republic,1534.5,76.3,13.8,Asia
The former Yugoslav Republic of Macedonia,4836.1,77.2,27.3,Europe
Turkey,9125.8,78.1,10.8,Asia
Ukraine,2021.6,76.0,8.8,Europe
United Arab Emirates,40438.8,78.2,3.7,Asia
United Kingdom,44162.4,82.8,5.0,Europe
Yemen,1106.4,65.6,16.1,Asia
